,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,37
Phoneme,Репрезентация,Есть ли этот звук в русском языке?,Есть ли этот звук в английском языке?,Это шумный согласный?,Одним из активных артикуляторов при произнесении этого звука является передняя часть языка и/или его кончик? ,Этот звук произносится при помощи основной части (телом) языка? ,"Ваш звук выше по шкале сонорности, чем носовые? ",При произношении этого звука образуется смычка? ,При произнесении этого звука есть фонация?,Спинка языка поднята при произнесении этого звука?,"Этот звук артикулируется у альвеолярного бугорка или всего, что переднее? ",Это глайд?,Этот звук слогообразующий? ,При произнесении этого звука присутствует фрикативный шум? ,Это ламинальный согласный звук? ,Это геминнированный согласный?,Одним из активных артикуляторов при произнесении этого звука являются губы?  ,При произнесении этого звука язык движется вперед? ,Это сибилянт? ,Этот согласный придыхательный? ,Это носовой звук?,При произнесении этого звука язык движется назад? ,"Этот согласный произносится с большим мышечным напряжением, чем обычно?",При произнесении этих звуков сводятся голосовые связки? Сужается голосовая щель?,Этот звук лабиализованный? ,Это палатализованный согласный?,Это латеральный согласный? ,"Это звук, особенно характерный для языков Африки?","Это звук, особенно характерный для языков Кавказа и Северной Америки?",Спинка языка опущена при произнесении этого звука?  ,Это краткий звук?,Это фарингализованный согласный?,Это дрожащий согласный? ,Это одноударный согласный? ,"Этот согласный можно охарактеризовать признаком  ""fortis"" ?",При произнесении этого звука корень языка отодвигается к глотке? ,При артикуляции этого звука нижняя губа касается верхних зубов?,"Этот согласный можно охарактеризовать признаком ""lenis""?",Этот имплозивный согласный (гортань опускается и создается временный вакуум)?,"При произнесении этого звука расширяется полость глотки продвижением основной части языка вперед, а еще часто опущением гортани? "
b,0.6185567010309279,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
b̪,0.0003681885125184094,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
b̻,0.0003681885125184094,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
b͈,0.0003681885125184094,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
b̩,0.0003681885125184094,0,0,1,0,0,0,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
b͉,0.0003681885125184094,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
b̤,0.022459499263622975,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
b̤̥,0.0007363770250368188,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
b̥,0.0033136966126656848,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
b̰,0.008100147275405008,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
